name,lat,lng,dist_text,dura_text,dist_value,dura_value
新余市,27.82357869778859,114.9235346513963,411公里,5.2小时,411026.0,18591.0
信阳市,32.15301454753105,114.09748283304512,210.2公里,2.7小时,210234.0,9809.0
邢台市,37.076685950966095,114.5114622561298,787.9公里,8.5小时,787859.0,30565.0
兴安盟,46.088463713218964,122.0443645258252,2309.6公里,25小时,2309645.0,89932.0
宿迁市,33.967749715690076,118.28157403570835,675公里,7.3小时,674970.0,26284.0
宿州市,33.652095326452134,116.97054394561262,560.6公里,6.3小时,560639.0,22565.0
徐州市,34.212666550113056,117.29057543439451,647.8公里,7.1小时,647762.0,25594.0
许昌市,34.04143161161871,113.85847553685501,424.8公里,4.8小时,424779.0,17115.0
宣城市,30.94660154529291,118.76553424276743,542.5公里,6.1小时,542504.0,21795.0
雅安市,30.01679254570607,103.04954262360451,1252.1公里,14.6小时,1252141.0,52688.0
烟台市,37.47003838373053,121.45441541730196,1233.3公里,13.1小时,1233336.0,47108.0
延安市,36.59111103521779,109.49658191612689,1028.6公里,11.8小时,1028607.0,42547.0
延边朝鲜族自治州,42.91574303372182,129.47737632022742,2421.5公里,26.5小时,2421539.0,95404.0
盐城市,33.3551009176262,120.167544265761,780.1公里,8.9小时,780137.0,31901.0
扬州市,32.40067693609037,119.41941890822996,614.4公里,7.2小时,614435.0,25935.0
阳江市,21.864339726138937,111.98848929181268,1192公里,13.7小时,1191980.0,49423.0
阳泉市,37.862360847859385,113.58761666287546,984公里,10.6小时,984026.0,38121.0
伊春市,47.733318457230936,128.84754638019822,2642.8公里,28.7小时,2642844.0,103326.0
伊犁哈萨克自治州,43.92272313749215,81.3305377475322,3939公里,44.9小时,3938987.0,161548.0
宜宾市,28.758007028551827,104.6494037048691,1108.9公里,13.6小时,1108873.0,48989.0
宜昌市,30.697446484492374,111.29254921035435,321.7公里,4小时,321658.0,14413.0
宜春市,27.820856421848216,114.42356367590641,429.3公里,5.4小时,429347.0,19544.0
益阳市,28.55971117848989,112.36151595471031,374.8公里,4.6小时,374754.0,16574.0
银川市,38.4924600555096,106.23849358740016,1357.6公里,14.5小时,1357573.0,52251.0
鹰潭市,28.265787063191414,117.0755754270272,490.7公里,5.8小时,490707.0,20935.0
营口市,40.67313683826707,122.24157466449694,1713.5公里,19小时,1713481.0,68277.0
永州市,26.42586411790009,111.61945505792228,629.2公里,7.1小时,629239.0,25621.0
榆林市,38.290883835484046,109.74161603381395,1234.7公里,14.3小时,1234738.0,51505.0
玉林市,22.659830509953146,110.1884531233724,1181.7公里,12.4小时,1181745.0,44765.0
玉树藏族自治州,33.010979585142735,97.01318076277326,2377.9公里,27.4小时,2377927.0,98716.0
玉溪市,24.35771094244625,102.55356029311,1636.5公里,19.1小时,1636515.0,68896.0
岳阳市,29.363178293925902,113.13548942422142,214.8公里,2.8小时,214830.0,10044.0
云浮市,22.920911970342857,112.05151269959144,1055.4公里,11.8小时,1055357.0,42356.0
运城市,35.032706912909234,111.01338945447924,745.5公里,8.8小时,745530.0,31846.0
枣庄市,34.81599404843511,117.33054194483896,727.2公里,7.9小时,727153.0,28569.0
湛江市,21.276723439012073,110.36555441392824,1324.6公里,14.4小时,1324628.0,51736.0
张家界市,29.12281556255188,110.48553254695402,485.9公里,6小时,485867.0,21744.0
张家口市,40.7732372026915,114.89257223145165,1276.8公里,13.4小时,1276802.0,48279.0
张掖市,38.93206600700493,100.45641147405634,1864.5公里,21.1小时,1864511.0,76112.0
漳州市,24.51892979117087,117.65357645298785,974.4公里,10.8小时,974376.0,38877.0
长春市,43.82195350104314,125.33060207590691,2061.3公里,22.3小时,2061252.0,80383.0
长沙市,28.234889399943643,112.94547319535287,332.9公里,4.3小时,332875.0,15437.0
长治市,36.2012683721548,113.12255886984902,737.5公里,8.5小时,737527.0,30581.0
昭通市,27.344083860246812,103.72351177196887,1352.4公里,16.7小时,1352441.0,59985.0
肇庆市,23.052888771125613,112.47148894063037,1035.6公里,11.7小时,1035626.0,42194.0
镇江市,32.19471592052375,119.43048944567384,614.1公里,7.6小时,614121.0,27248.0
郑州市,34.75343885045448,113.63141920733915,513.9公里,5.8小时,513929.0,21055.0
中山市,22.5223146707905,113.39942236263187,1063.5公里,12.4小时,1063457.0,44584.0
中卫市,37.505701418702934,105.20357090088713,1350.5公里,15.7小时,1350473.0,56446.0
重庆市,29.568996245338926,106.55843415537664,866.4公里,10.9小时,866390.0,39309.0
舟山市,29.99091168016034,122.21355631852043,955.5公里,11.2小时,955474.0,40160.0
周口市,33.6318288757022,114.7034825148233,388.6公里,4.5小时,388565.0,16183.0
珠海市,22.27656465424921,113.58255478654918,1106.4公里,12.7小时,1106398.0,45584.0
株洲市,27.833567639016447,113.14047079776428,373.7公里,4.9小时,373729.0,17530.0
驻马店市,33.01784241674367,114.02847078173271,307.3公里,3.6小时,307262.0,13134.0
资阳市,30.13495655925314,104.63443534164409,1084.4公里,13.1小时,1084394.0,47154.0
淄博市,36.81908568332188,118.06145253489895,953.1公里,10.5小时,953062.0,37771.0
自贡市,29.34558492132757,104.78444884671713,1073.1公里,13.4小时,1073073.0,48313.0
遵义市,27.731700878916666,106.93342774801829,994.8公里,11.6小时,994776.0,41655.0
